,tweet_favorite,tweet_id,tweet_retweet,user_favorite,user_follower,user_friend,user_id,user_mention_favorite,user_mention_follower,user_mention_friend,user_mention_id,user_mention_screen_name,user_mention_statuses,user_screen_name,user_statuses
0,0,771555344933724161,0,0,11,40,770196675172372481,N/A,N/A,N/A,N/A,N/A,N/A,Fuokdi_Leenso,6848
1,0,771555337023348740,0,0,0,1,4867321497,1382,63777828,945,10228272,YouTube,17383,NitroNinja900,24
2,0,771555316286664705,0,879,567,538,156175231,396,111,99,2335071882,nechi_28,1575,kai_kk2k,40000
3,0,771555294451077120,0,447,46,108,705383805687721984,1382,63777828,945,10228272,YouTube,17383,RealAmeerYT,2207
4,0,771555292756619266,0,0,64,58,760569590862798850,N/A,N/A,N/A,N/A,N/A,N/A,Qaotya_Qoaspe,45828
5,0,771555285815087104,0,0,64,58,760569590862798850,N/A,N/A,N/A,N/A,N/A,N/A,Qaotya_Qoaspe,45828
6,0,771555281624977408,0,26298,345,122,401297414,N/A,N/A,N/A,N/A,N/A,N/A,Jadenir100,11389
7,0,771555280781848576,0,0,52,77,2929581271,N/A,N/A,N/A,N/A,N/A,N/A,kabarwebcom,16170
8,0,771555277514473472,0,0,64,58,760569590862798850,N/A,N/A,N/A,N/A,N/A,N/A,Qaotya_Qoaspe,45828
9,0,771555275773927428,0,1489,207,216,3401590079,1382,63777832,945,10228272,YouTube,17383,EDDxample,2558
10,0,771555271315292160,0,1,261,805,773496032,N/A,N/A,N/A,N/A,N/A,N/A,startgadget,4045
11,0,771555268962332673,0,676,20,23,733301566850105345,1382,63777832,945,10228272,YouTube,17383,damilol12,792
12,0,771555257625088000,0,2461,346,98,4131698653,1382,63777828,945,10228272,YouTube,17383,Daxer970,785
13,0,771555255754432516,0,826,49,123,3230995748,1382,63777828,945,10228272,YouTube,17383,Justin2982,3291
14,0,771555254034763777,259,1301,236,224,3976551731,3022,4075,76,2940272369,Lennoxbball,5982,HamidTmtcPoto,5329
15,0,771555253569236993,0,253,158,137,184988606,N/A,N/A,N/A,N/A,N/A,N/A,elitrope,1254
16,0,771555248124997636,0,7,15,51,2487075050,1382,63777832,945,10228272,YouTube,17383,DaGato2013,2114
17,0,771555238411051008,0,2285,765,775,219522272,N/A,N/A,N/A,N/A,N/A,N/A,mitsu_JK,76068
18,0,771555219385659392,0,4266,83,212,3314140870,1382,63777834,945,10228272,YouTube,17383,LUCHI_MANTOVANI,799
19,0,771555215292063745,0,9,14,56,2559452874,1382,63777830,945,10228272,YouTube,17383,ReichenProject,117
20,0,771555165417508864,0,204,19,61,734899684809015297,1382,63777827,945,10228272,YouTube,17383,ManyCraftGames,1765
21,0,771555148711682048,0,2769,86,172,3308313943,1382,63777835,945,10228272,YouTube,17383,megandroiid,4540
22,0,771555102033227776,0,0,716,496,2380467398,N/A,N/A,N/A,N/A,N/A,N/A,MineCraft_Poko,6769
