,ChannelTitle,ChannelID,SubscriberCount
0,Gaming,UCOpNcN46UbXVtpKMrmU4Abg,77799100
1,VanossGaming,UCKqH_9mk1waLgBiL2vT5b9g,18497403
2,VEGETTA777,UCam8T03EOFBsNdR0thrFHdQ,15192844
3,TheDiamondMinecart // DanTDM,UCS5Oz6CHmeoF7vSad0qqXfw,12347479
4,Sky Does Minecraft,UCKlhpmbHGxBE6uw9B_uLeqQ,12087773
5,whinderssonnunes,UC3KQ5GWANYF8lChqjZpXsQw,11696571
6,TheWillyrex,UC4LHNX8d8RqnDX0OezgmCTg,10188229
7,Cyprien,UCyWqModMQlbIo8274Wh_ZsQ,9512221
8,PopularMMOs,UCpGdL9Sn3Q5YWUH2DVUW1Ug,8886778
9,Ali-A,UCYVinkwSX7szARULgYpvhLw,8472360
10,W2S,UCjtLOfx1yt1NlnFIDyAX3Ug,7970934
11,stampylonghead,UCj5i58mCkAREDqFWlhaQbOw,7862484
12,Canal Nostalgia,UCH2VZQBLFTOp6I_qgnBJCuQ,7529112
13,YOGSCAST Lewis & Simon,UCH-_hzb2ILSCo9ftVSnrCIQ,7356265
14,Smosh Games,UCJ2ZDzMRgSrxmwphstrm8Ww,6942314
15,The Game Theorists,UCo_IB5145EVNcf8hw1Kku7w,6902050
16,SQUEEZIE,UCWeg2Pkate69NFdBeuRFTAw,6788001
17,AuthenticGames,UCIPA6iWNaoetaa1T46RkzXw,6392268
18,TazerCraft,UCjBO43ykxlSs3j7F7EXcBUQ,5993123
19,Bajan Canadian - Minecraft & More,UCuj1Ms9_LCsQPSJ4p8nvOVA,5735380
20,luzugames,UCHkh8YFg0l4tkY6_zvzdd5w,5702717
21,SeaNanners Gaming Channel,UCq54nlcoX-0pLcN5RhxHyug,5576925
22,Planet Dolan,UCgJjd8J5moTQSwnCIx4WSIw,5011658
23,miniminter,UCWZmCMB7mmKWcXJSIPRhzZw,5006714
24,Clash of Clans,UCD1Em4q90ZUK2R5HKesszJg,4886596
25,Lui Calibre,UCcWl6q7rcJ9WoF_Kwmxg23A,4673885
26,Call of Duty,UC9YydG57epLqxA9cTzZXSeQ,4549071
27,HigaTV,UCqNe2Mqtv5sNidn5hAAEfiQ,4447187
28,JeromeASF,UCrYnLkVfvVf0Qy0YOUQdk2A,4317409
29,AM3NlC,UCrGnb5RdHA9M6WGmBGYo4ZQ,4276803
30,MoreAliA,UCyeVfsThIHM_mEZq7YXIQSQ,4235944
31,FaZe Clan,UCNdpD9V0PIrH1glUJ6RG4-w,4089628
32,AuronPlay,UCyQqzYXQBUWgBTn4pw_fFSQ,4074510
33,Corridor,UCsn6cjffsvyOZCZxvGoJxGg,4001187
34,iBallisticSquid,UCa6Hg8HmooiDNaCT0_1NbQQ,3744133
35,boogie2988,UC4_bwov47DseacR1-ttTdOg,3596686
36,TheGamingLemon,UCoaWFCFBDCXS030uimjZAkw,3400632
37,SirKazzio,UCaMYfhdKrlqqEpkynPvgVQw,3376352
38,PrestonPlayz - Minecraft,UC70Dib4MvFfT1tU6MqeyHpQ,3336343
39,M3RKMUS1C,UCMWHhRY7Iuxwm1hF1Fv-btw,3028634
40,DashieGames,UCERUmrDh9hmqEXBsnYFNTIA,2980160
41,Rockstar Games,UC6VcWc1rAoWdBCM0JxrRQ3A,2887594
42,Dner,UChr1sKJ27Fr6WZxAlusbo_w,2841654
43,OpTic Pamaj,UCPtLtJEoVSzd-zMlZaluxEA,2787843
44,Julien Bam,UCTXeJ33DzXI2veQpKfrvaYw,2775545
45,Nadeshot,UCs3l6DsCu9ZOXkJkvskEsrQ,2709984
46,XpertThief,UCDwujczvdxbbVHg-V4-kC-A,2677114
47,OfficialNerdCubed,UCKab3hYnOoTZZbEUQBMx-ww,2492347
48,Zerkaa,UChntGq8THlUokhc1tT-M2wA,2415893
